,Topic,Word,P
0,0,nan,0.11577803
1,0,excellent,0.053467274
2,0,free,0.03916276
3,0,product,0.0344209
4,0,schedule,0.029202316
5,0,benefit,0.016517913
6,0,flexible,0.013096715
7,0,lunch,0.012569031
8,0,consumer,0.01231496
9,0,drink,0.01225387
10,0,coke,0.01200962
11,0,discount,0.011097192
12,0,finance,0.010955338
13,0,staff,0.010015032
14,0,environment,0.008399211
15,0,taking,0.00738854
16,0,live,0.007331065
17,0,invests,0.007128104
18,0,true,0.006695971
19,0,commission,0.006206245
20,0,young,0.0059897252
21,0,model,0.0055305716
22,0,fit,0.00530986
23,0,people,0.0048885588
24,0,prestigious,0.004833799
25,0,visibility,0.0046162345
26,0,supported,0.0045520784
27,0,pay,0.004488642
28,0,vacation,0.0043509356
29,0,worker,0.0043461253
30,1,job,0.04180524
31,1,experience,0.023484584
32,1,employee,0.022428537
33,1,brand,0.019454874
34,1,people,0.019140732
35,1,opportunity,0.017718421
36,1,management,0.017594866
37,1,benefit,0.016228642
38,1,environment,0.014940992
39,1,career,0.014209201
40,1,compensation,0.013252994
41,1,learn,0.012728571
42,1,training,0.012607961
43,1,lot,0.012514674
44,1,nice,0.010589736
45,1,life,0.010099898
46,1,business,0.009215958
47,1,challenging,0.009151551
48,1,balance,0.009049301
49,1,place,0.008911281
50,1,global,0.00853328
51,1,time,0.008451341
52,1,diversity,0.008197533
53,1,role,0.008083128
54,1,leader,0.0075153825
55,1,interesting,0.007472433
56,1,team,0.007154025
57,1,high,0.007034362
58,1,development,0.006960671
59,1,different,0.0068679466
60,2,best,0.03177567
61,2,time,0.01954906
62,2,free,0.019276666
63,2,money,0.018903876
64,2,lot,0.018718027
65,2,marketing,0.016296461
66,2,people,0.013327672
67,2,week,0.012746461
68,2,place,0.011772759
69,2,start,0.011662823
70,2,vacation,0.011482421
71,2,environment,0.010187644
72,2,project,0.010082974
73,2,world,0.010034339
74,2,training,0.009856292
75,2,excellent,0.009411436
76,2,perk,0.009391326
77,2,brand,0.009170103
78,2,truly,0.008590156
79,2,day,0.008411981
80,2,product,0.008103924
81,2,focused,0.0075668674
82,2,learning,0.0075617866
83,2,come,0.0074018477
84,2,nice,0.0072232084
85,2,colleague,0.0070130667
86,2,year,0.0069392556
87,2,benefit,0.0069184266
88,2,right,0.0069158464
89,2,offer,0.0064869556
90,3,pay,0.16081382
91,3,benefit,0.07047823
92,3,decent,0.03291128
93,3,nan,0.017878212
94,3,people,0.0142688835
95,3,overtime,0.011154379
96,3,opportunity,0.010846032
97,3,average,0.010628559
98,3,employee,0.009321576
99,3,advancement,0.009310554
100,3,hour,0.009084308
101,3,senior,0.0083906995
102,3,friendly,0.007799123
103,3,fair,0.0075987903
104,3,want,0.007408214
105,3,environment,0.0069633657
106,3,give,0.0066994717
107,3,lot,0.006694044
108,3,management,0.006568096
109,3,product,0.0061731115
110,3,family,0.0061434205
111,3,bad,0.006106757
112,3,pro,0.006052326
113,3,passionate,0.005942812
114,3,competitive,0.0059321746
115,3,promote,0.005810221
116,3,coworkers,0.0057103713
117,3,fantastic,0.0055517266
118,3,growing,0.005546311
119,3,brand,0.005498944
120,4,opportunity,0.065238744
121,4,culture,0.054630954
122,4,lot,0.038864013
123,4,working,0.033260014
124,4,environment,0.030755626
125,4,benefit,0.02694258
126,4,nan,0.023582922
127,4,salary,0.02130873
128,4,learning,0.019580822
129,4,life,0.01902734
130,4,development,0.01614073
131,4,balance,0.01575841
132,4,growth,0.014879419
133,4,fast,0.012965939
